experiment,horizon,model_1,model_2,better_model,mean_mae_1,mean_mae_2,p_value,significant_p05
HUPA->AZT1D,60m,HistGBM,LSTM,HistGBM,36.005,49.483,0.0,True
HUPA->AZT1D,60m,XGBoost,LSTM,XGBoost,35.15,49.483,0.0,True
HUPA->HUPA,30m,LinearRegression,RandomForest,RandomForest,15.144,13.921,0.0,True
HUPA->HUPA,30m,LinearRegression,HistGBM,HistGBM,15.144,13.85,0.0,True
HUPA->HUPA,30m,LinearRegression,XGBoost,XGBoost,15.144,13.754,0.0,True
HUPA->HUPA,30m,LinearRegression,LSTM,LinearRegression,15.144,15.636,0.0001,True
HUPA->HUPA,30m,RandomForest,HistGBM,HistGBM,13.921,13.85,0.1485,False
HUPA->HUPA,30m,RandomForest,XGBoost,XGBoost,13.921,13.754,0.0034,True
HUPA->HUPA,30m,RandomForest,LSTM,RandomForest,13.921,15.636,0.0,True
HUPA->HUPA,30m,HistGBM,XGBoost,XGBoost,13.85,13.754,0.0061,True
HUPA->HUPA,30m,HistGBM,LSTM,HistGBM,13.85,15.636,0.0,True
HUPA->HUPA,30m,XGBoost,LSTM,XGBoost,13.754,15.636,0.0,True
HUPA->HUPA,60m,LinearRegression,RandomForest,RandomForest,26.581,24.897,0.0001,True
HUPA->HUPA,60m,LinearRegression,HistGBM,HistGBM,26.581,24.63,0.0001,True
HUPA->HUPA,60m,LinearRegression,XGBoost,XGBoost,26.581,24.481,0.0,True
HUPA->HUPA,60m,LinearRegression,LSTM,LSTM,26.581,26.205,0.1485,False
HUPA->HUPA,60m,RandomForest,HistGBM,HistGBM,24.897,24.63,0.22,False
HUPA->HUPA,60m,RandomForest,XGBoost,XGBoost,24.897,24.481,0.0105,True
HUPA->HUPA,60m,RandomForest,LSTM,RandomForest,24.897,26.205,0.0,True
HUPA->HUPA,60m,HistGBM,XGBoost,XGBoost,24.63,24.481,0.0755,False
HUPA->HUPA,60m,HistGBM,LSTM,HistGBM,24.63,26.205,0.0,True
HUPA->HUPA,60m,XGBoost,LSTM,XGBoost,24.481,26.205,0.0,True
